ID,Name,Description,System,VisualType,Parent,OOTB_Custom,inScope,Usage#,flowchart TD,Comments,Type,Complexity,NewMod,NoOfUnits,WP,Adjustor
MpProfile,Profile,"Management of business info, profile",MerchantPortal,Page,MpMerchantPortal,OOTB,N,0,MpProfile[Profile] ; MpMerchantPortal --> MpProfile,,application pages,Simple,modified,1,WP 2,1
ServiceAgreements,Service Agreements,,Frontend,Page,MyProfile,Custom,Y,1,ServiceAgreements[Service Agreements] ; MyProfile --> ServiceAgreements,Service Agreements,commerce presentation components,medium,new,1,WP 22,1
NewsletterSubscription,Newsletter Subscription,"Offer Newsletter Subscriptions, included opt-in, opt-out options",Frontend,Component,Home,Custom,N,1,NewsletterSubscription(Newsletter Subscription) ; Home --> NewsletterSubscription,,commerce presentation components,Simple,new,1,WP 2,1
OnePageCheckout,One page checkout,One page checkout,Frontend,Page,Cart,Custom,N,1,OnePageCheckout[One page checkout] ; Cart --> OnePageCheckout,,commerce presentation components,complex,new,1,WP 2,1
ViewAsset,ViewAsset,,Frontend,Page,MyProfile,Custom,Y,1,ViewAsset[ViewAsset] ; MyProfile --> ViewAsset,View Asset,commerce presentation components,medium,new,1,WP 22,1
OrderHistoryPage,Order History Page,Purchase Order document (external binding),Frontend,Page,OrderHistoryList,OOTB,Y,1,OrderHistoryPage[Order History Page] ; OrderHistoryList --> OrderHistoryPage,Order Details,commerce presentation components,medium,modified,1,WP 22,1
Shipments,Shipment on Order History Page,Shipment on Order History Page,Frontend,Component,OrderHistoryPage,OOTB,Y,1,Shipments(Shipment on Order History Page) ; OrderHistoryPage --> Shipments,,commerce presentation components,simple,modified,1,WP 22,1
PageWithForm,Page with form,,Frontend,Page,PageWithForm,,N,1,PageWithForm[Page with form] ; PageWithForm --> PageWithForm,"- Wizard 6 pages
 - Request changes [form]
- View / Add / Manage Delegations",commerce presentation components,complex,new,9,WP 2,1
Payment,Payment,,Frontend,Component,Cart,OOTB,N,1,Payment(Payment) ; Cart --> Payment,,commerce presentation components,simple,modified,1,WP 22,1
Certificates,Certificates,,Frontend,Component,PDP,Custom,Y,1,Certificates(Certificates) ; PDP --> Certificates,Certificates,commerce presentation components,simple,new,1,WP 21,1
CompatibleProducts,Compatible Products,,Frontend,Component,PDP,Custom,Y,1,CompatibleProducts(Compatible Products) ; PDP --> CompatibleProducts,Compatible Products,commerce presentation components,simple,modified,1,WP 21,1
Documentation,Documentation,,Frontend,Component,PDP,Custom,Y,1,Documentation(Documentation) ; PDP --> Documentation,Documentation,commerce presentation components,simple,new,1,WP 21,1
FAQ,FAQ,,Frontend,Component,PDP,Custom,Y,1,FAQ(FAQ) ; PDP --> FAQ,FAQ,commerce presentation components,simple,new,1,WP 21,1
GeneralInfo,General info,,Frontend,Component,PDP,OOTB,Y,1,GeneralInfo(General info) ; PDP --> GeneralInfo,General info,commerce presentation components,simple,modified,1,WP 21,1
Licenses,Licenses,,Frontend,Component,PDP,Custom,Y,1,Licenses(Licenses) ; PDP --> Licenses,Licenses,commerce presentation components,simple,new,1,WP 21,1
MediaGallery,Media gallery,,Frontend,Component,PDP,OOTB,Y,1,MediaGallery(Media gallery) ; PDP --> MediaGallery,Media gallery,commerce presentation components,medium,modified,1,WP 21,1
Options,Options,,Frontend,Component,PDP,OOTB,Y,1,Options(Options) ; PDP --> Options,Options,commerce presentation components,medium,new,1,WP 21,1
Specifications,Specifications,,Frontend,Component,PDP,OOTB,Y,1,Specifications(Specifications) ; PDP --> Specifications,"My Portal - Specifications, MyBusiness - Specifications",commerce presentation components,simple,modified,1,WP 21,1
PDP,Product Detail Page,"To highlight details relating to the product, options, variants, warranties or images",Frontend,Page,PLP,OOTB,Y,1,PDP[Product Detail Page] ; PLP --> PDP,,commerce presentation components,medium,modified,1,WP 21,1
