FeatureId,FeatureInScope,ComponentType,ComponentId,ComponentExistsCheck
Localisation & Translation-Glossary Management,N,module,Localisation & Translation-Glossary Management,Localisation & Translation-Glossary Management
Localisation & Translation-Storefront Translations,Y,screen,LangSwitcher,LangSwitcher
Localisation & Translation-Storefront Translations,Y,module,Localisation & Translation-Storefront Translations,Localisation & Translation-Storefront Translations
Merchant-Merchant Category,N,module,Merchant-Merchant Category,Merchant-Merchant Category
Merchant-Merchant Management,N,flow,MerchantSOH:CSV-eCommerce,MerchantSOH:CSV-eCommerce
Merchant-Merchant Management,N,screen,BckAdmPanel,BckAdmPanel
Merchant-Merchant Management,N,module,Merchant-Merchant Management,Merchant-Merchant Management
Merchant-Merchant Management,N,flow,MerchantAccount:CSV-eCommerce,MerchantAccount:CSV-eCommerce
Merchant-Merchant Management,N,flow,MerchantUser:CSV-eCommerce,MerchantUser:CSV-eCommerce
Merchant-Merchant Portal,N,module,Merchant-Merchant Portal,Merchant-Merchant Portal
Merchant-Merchant Portal,N,screen,BckMerchantProfile,BckMerchantProfile
Merchant-Merchant Portal Login,N,module,Merchant-Merchant Portal Login,Merchant-Merchant Portal Login
Merchant-Merchant Portal Login,N,screen,BckMerchantProfile,BckMerchantProfile
Merchant-Merchant Product Offers,N,module,Merchant-Merchant Product Offers,Merchant-Merchant Product Offers
Merchant-Merchant Product Offers,N,screen,BckMerchantProfile,BckMerchantProfile
Merchant-Merchant Product Restrictions,N,screen,BckAdmPanel,BckAdmPanel
Merchant-Merchant Product Restrictions,N,module,Merchant-Merchant Product Restrictions,Merchant-Merchant Product Restrictions
Merchant-Merchant Profile,N,module,Merchant-Merchant Profile,Merchant-Merchant Profile
Merchant-Merchant Profile,N,screen,BckMerchantProfile,BckMerchantProfile
Merchant-Merchant Profile,N,screen,MarketPlaceSellerPage,MarketPlaceSellerPage
Merchant-Store locator,N,screen,StoreLocator,StoreLocator
Merchant-Store locator,N,flow,PickupLocation:ERP-eCommerce,PickupLocation:ERP-eCommerce
Notifications-Email notifications,N,module,Notifications-Email notifications,Notifications-Email notifications
Notifications-Receipient integration with Salesforce,N,module,Notifications-Receipient integration with Salesforce,Notifications-Receipient integration with Salesforce
Notifications-SMS notifications,N,flow,Message:eCommerce-SMS,Message:eCommerce-SMS
Notifications-SMS notifications,N,module,Notifications-SMS notifications,Notifications-SMS notifications
Order-Annual Returns for Backoffice,N,screen,BckAdmPanel,BckAdmPanel
Order-Annual Returns for Backoffice,N,module,OMS-Annual Returns for Backoffice,OMS-Annual Returns for Backoffice
Order-Annual Returns. Approval,N,screen,MyProfile,MyProfile
Order-Annual Returns. Approval,N,module,OMS-Annual Returns. Approval,OMS-Annual Returns. Approval
Order-Annual Returns. Create and Status,N,screen,MyProfile,MyProfile
Order-Annual Returns. Create and Status,N,module,OMS-Annual Returns. Create and Status,OMS-Annual Returns. Create and Status
Order-Annual Returns. Credit Memo,N,screen,MyProfile,MyProfile
Order-Annual Returns. Credit Memo,N,module,OMS-Annual Returns. Credit Memo,OMS-Annual Returns. Credit Memo
Order-Annual Returns. Download,N,screen,MyProfile,MyProfile
Order-Annual Returns. Download,N,module,OMS-Annual Returns. Download,OMS-Annual Returns. Download
Order-Invoice Generation,N,module,OMS-Invoice Generation,OMS-Invoice Generation
Order-Merchant Orders Management,N,screen,BckMerchantProfile,BckMerchantProfile
Order-Merchant Orders Management,N,module,OMS-Merchant Orders Management,OMS-Merchant Orders Management
Order-Order Cancellation,N,module,OMS-Order Cancellation,OMS-Order Cancellation
Order-Order Cancellation,N,screen,MyProfile,MyProfile
Order-Order documents,N,flow,OrderDocuments:CRM-Middleware,OrderDocuments:CRM-Middleware
Order-Order documents,N,flow,OrderDocuments:Middleware-eCommerce,OrderDocuments:Middleware-eCommerce
Order-Order Management,Y,screen,BckAdmPanel,BckAdmPanel
Order-Order Management,Y,module,OMS-Order Management,OMS-Order Management
Order-Order Split for multiple ERP,N,module,OMS-Order Split for multiple ERP,OMS-Order Split for multiple ERP
Order-Order Split for multiple ERP,N,flow,Order:eCommerce-ERP,Order:eCommerce-ERP
Order-Packing Slip Download for Merchant,N,screen,BckMerchantProfile,BckMerchantProfile
Order-Packing Slip Download for Merchant,N,module,OMS-Packing Slip Download for Merchant,OMS-Packing Slip Download for Merchant
Order-Packing Slip for Merchant,N,screen,BckMerchantProfile,BckMerchantProfile
Order-Packing Slip for Merchant,N,module,OMS-Packing Slip for Merchant,OMS-Packing Slip for Merchant
Order-Reclamations Management in Backoffice,N,screen,BckAdmPanel,BckAdmPanel
Order-Reclamations Management in Backoffice,N,module,OMS-Reclamations Management in Backoffice,OMS-Reclamations Management in Backoffice
Order-Refunds,N,screen,BckAdmPanel,BckAdmPanel
Order-Refunds,N,module,OMS-Refunds,OMS-Refunds
Order-Reorder,Y,module,CRM-Reorder,CRM-Reorder
Order-Reorder,Y,screen,MyProfile,MyProfile
Order-Return Management,N,screen,MyProfile,MyProfile
Order-Return Management,N,module,OMS-Return Management,OMS-Return Management
Order-Return Management,N,screen,Return,Return
Order-Return Management,N,screen,Refund,Refund
Order-Splittable Order Items,N,module,OMS-Splittable Order Items,OMS-Splittable Order Items
Order-State Machine Modelling,Y,module,OMS-State Machine Modelling,OMS-State Machine Modelling
Payment-Payment Method,N,module,PSP-Payment Method,PSP-Payment Method
Payment-Payment Service Provider Integration,N,module,PSP-Payment Service Provider Integration,PSP-Payment Service Provider Integration
Price -Customer Specific Prices,N,screen,BckAdmPanel,BckAdmPanel
Price -Customer Specific Prices,N,module,Price -Customer Specific Prices,Price -Customer Specific Prices
Price -Merchant Custom Prices,N,module,Price -Merchant Custom Prices,Price -Merchant Custom Prices
Price -Net & Gross Price Mode,N,screen,BckAdmPanel,BckAdmPanel
Price -Net & Gross Price Mode,N,module,Price -Net & Gross Price Mode,Price -Net & Gross Price Mode
Price -Net & Gross Price Mode,N,flow,Price:CSV-eCommerce,Price:CSV-eCommerce
Price -Scheduled Prices,N,screen,BckAdmPanel,BckAdmPanel
Price -Scheduled Prices,N,module,Price -Scheduled Prices,Price -Scheduled Prices
Price -Vehicle residual value,N,screen,ResidualValue,ResidualValue
Price -Vehicle residual value,N,flow,ResidualValue:ResidualValueEngine-Frontend,ResidualValue:ResidualValueEngine-Frontend
Price -Vehicle residual value,N,module,Price -Vehicle price calculation,Price -Vehicle price calculation
Price -Vehicle residual value,N,flow,ResidualValue:ResidualValueEngine-Middleware,ResidualValue:ResidualValueEngine-Middleware
Price -Vehicle residual value,N,flow,ResidualValue:Middleware-Frontend,ResidualValue:Middleware-Frontend
Price -Vehicle residual value,N,flow,ResidualValue:Frontend-ResidualValueEngine,ResidualValue:Frontend-ResidualValueEngine
Price -Vehicle residual value,N,flow,ResidualValue:Frontend-Middleware,ResidualValue:Frontend-Middleware
Price -Vehicle residual value,N,flow,ResidualValue:Middleware-ResidualValueEngine,ResidualValue:Middleware-ResidualValueEngine
Price -Volume Prices,N,screen,BckAdmPanel,BckAdmPanel
Price -Volume Prices,N,module,Price -Volume Prices,Price -Volume Prices
Product-Alternative Products,N,screen,BckAdmPanel,BckAdmPanel
Product-Alternative Products,N,module,PIM-Alternative Products,PIM-Alternative Products
Product-Category Management,Y,screen,BckAdmPanel,BckAdmPanel
Product-Category Management,Y,screen,CatTree,CatTree
Product-Category Management,Y,module,PIM-Category Management,PIM-Category Management
Product-Category Pages. PLP.,Y,module,PIM-Category Pages. PLP.,PIM-Category Pages. PLP.
Product-Category Pages. PLP.,Y,screen,PLP,PLP
Product-Configurable Bundle,N,screen,BckAdmPanel,BckAdmPanel
Product-Configurable Bundle,N,module,PIM-Configurable Bundle,PIM-Configurable Bundle
Product-Configurable Product,Y,module,PIM-Configurable Product,PIM-Configurable Product
Product-Discontinued products,N,screen,BckAdmPanel,BckAdmPanel
Product-Discontinued products,N,module,PIM-Discontinued products,PIM-Discontinued products
Product-Downloadable/virtual products,Y,module,PIM-Downloadable/virtual products,PIM-Downloadable/virtual products
Product-Gift Card,N,screen,PDP,PDP
Product-Gift Card,N,module,PIM-Gift Card,PIM-Gift Card
Product-Guided Selling,Y,flow,GuidedSelling:Middleware-Frontend,GuidedSelling:Middleware-Frontend
Product-Guided Selling,Y,module,PIM-Guided Selling,PIM-Guided Selling
Product-Guided Selling,Y,screen,ProductFinder,ProductFinder
Product-Guided Selling,Y,screen,WizardSixSteps,WizardSixSteps
Product-Guided Selling,Y,screen,Finder Result Page,Finder Result Page
Product-Literature Library,Y,flow,Media:MediaStorage-eCommerce,Media:MediaStorage-eCommerce
Product-Literature Library,Y,screen,PDP,PDP
Product-Literature Library,Y,module,PIM-Literature Library,PIM-Literature Library
Product-Marketplace,Y,screen,Marketplace,Marketplace
Product-Marketplace,Y,module,CMS-Marketplace,CMS-Marketplace
Product-Merchant Product Approval Process,N,screen,BckAdmPanel,BckAdmPanel
Product-Merchant Product Approval Process,N,module,PIM-Merchant Product Approval Process,PIM-Merchant Product Approval Process
Product-Product Abstraction,Y,screen,BckAdmPanel,BckAdmPanel
Product-Product Abstraction,Y,module,PIM-Product Abstraction,PIM-Product Abstraction
Product-Product Attributes,Y,screen,BckAdmPanel,BckAdmPanel
Product-Product Attributes,Y,module,PIM-Product Attributes,PIM-Product Attributes
Product-Product Barcode,N,screen,BckAdmPanel,BckAdmPanel
Product-Product Barcode,N,module,PIM-Product Barcode,PIM-Product Barcode
Product-Product Bundles,N,screen,BckAdmPanel,BckAdmPanel
Product-Product Bundles,N,module,PIM-Product Bundles,PIM-Product Bundles
Product-Product Bundles,N,flow,ProductBundle:CSV-eCommerce,ProductBundle:CSV-eCommerce
Product-Product Compare,N,screen,ProductsCompare,ProductsCompare
Product-Product Detail Page,Y,screen,PDP,PDP
Product-Product Detail Page,Y,screen,PDPRobots,PDPRobots
Product-Product Detail Page,Y,screen,PDPSoftware,PDPSoftware
Product-Product Detail Page,Y,screen,PDPControllers,PDPControllers
Product-Product Detail Page,Y,screen,PDPServices,PDPServices
Product-Product Detail Page,Y,screen,PDPAccessories,PDPAccessories
Product-Product Detail Page,Y,screen,PDPSpareParts,PDPSpareParts
Product-Product Detail Page,Y,screen,PDPSolutions,PDPSolutions
Product-Product Detail Page,Y,screen,MediaGallery,MediaGallery
Product-Product Detail Page,Y,screen,GeneralInfo,GeneralInfo
Product-Product Detail Page,Y,screen,Specifications,Specifications
Product-Product Detail Page,Y,screen,CompatibleProducts,CompatibleProducts
Product-Product Detail Page,Y,screen,Documentation,Documentation
Product-Product Detail Page,Y,screen,Certificates,Certificates
Product-Product Detail Page,Y,screen,FAQ,FAQ
Product-Product Detail Page,Y,screen,Licenses,Licenses
Product-Product Detail Page,Y,screen,Options,Options
Product-Product details integration from CWC,N,flow,ProductDetails:CWC-eCommerce,ProductDetails:CWC-eCommerce
Product-Product details integration from CWC,N,flow,ProductDetails:CWC-Middleware,ProductDetails:CWC-Middleware
Product-Product Groups,Y,module,PIM-Product Groups,PIM-Product Groups
Product-Product Images,Y,screen,BckAdmPanel,BckAdmPanel
Product-Product Images,Y,module,PIM-Product Images,PIM-Product Images
Product-Product Labels,N,screen,BckAdmPanel,BckAdmPanel
Product-Product Labels,N,module,PIM-Product Labels,PIM-Product Labels
Product-Product Lists,N,screen,BckAdmPanel,BckAdmPanel
Product-Product Lists,N,module,PIM-Product Lists,PIM-Product Lists
Product-Product Options,Y,screen,BckAdmPanel,BckAdmPanel
Product-Product Options,Y,module,PIM-Product Options,PIM-Product Options
Product-Product Relations,Y,screen,BckAdmPanel,BckAdmPanel
Product-Product Relations,Y,module,PIM-Product Relations,PIM-Product Relations
Product-Product Relations,Y,flow,ProductsRelations:Mantis-eCommerce,ProductsRelations:Mantis-eCommerce
Product-Product Relations,Y,flow,ProductsRelations:Mantis-Middleware,ProductsRelations:Mantis-Middleware
Product-Product Relations,Y,flow,ProductsRelations:Middleware-eCommerce,ProductsRelations:Middleware-eCommerce
Product-Ratings & Reviews,N,screen,PDP,PDP
Product-Ratings & Reviews,N,module,PIM-Ratings & Reviews,PIM-Ratings & Reviews
Product-Timed Product Availability,N,screen,BckAdmPanel,BckAdmPanel
Product-Timed Product Availability,N,module,PIM-Timed Product Availability,PIM-Timed Product Availability
PublicAPI-API: Advanced Shipping Notification,N,flow,Shipment:eCommerce-GlueAPI,Shipment:eCommerce-GlueAPI
PublicAPI-API: Availability,N,flow,StockOnHand:eCommerce-GlueAPI,StockOnHand:eCommerce-GlueAPI
PublicAPI-API: Deep Linking,N,flow,Product:eCommerce-GlueAPI,Product:eCommerce-GlueAPI
PublicAPI-API: Order Status,N,flow,Order:eCommerce-GlueAPI,Order:eCommerce-GlueAPI
PublicAPI-API: Part Details,N,flow,Parts_Product:eCommerce-GlueAPI,Parts_Product:eCommerce-GlueAPI
PublicAPI-API: Part Search By Application,N,flow,Product:eCommerce-GlueAPI,Product:eCommerce-GlueAPI
PublicAPI-API: Place Order,N,flow,Order:eCommerce-GlueAPI,Order:eCommerce-GlueAPI
PublicAPI-API: Pricing,N,flow,Price:eCommerce-GlueAPI,Price:eCommerce-GlueAPI
PublicAPI-API: ProConnectExchange,N,flow,MerchantSOH:eCommerce-GlueAPI,MerchantSOH:eCommerce-GlueAPI
RFQ-Marketplace distributor RFQ,Y,screen,RFQList,RFQList
RFQ-Marketplace distributor RFQ,Y,screen,MyProfile,MyProfile
RFQ-Marketplace distributor RFQ,Y,module,RFQ-Marketplace distributor RFQ,RFQ-Marketplace distributor RFQ
RFQ-Marketplace distributor RFQ,Y,screen,RFQDetails,RFQDetails
RFQ-Marketplace distributor RFQ for Backoffice,N,screen,MyProfile,MyProfile
RFQ-Marketplace distributor RFQ for Backoffice,N,module,RFQ-Marketplace distributor RFQ for Backoffice,RFQ-Marketplace distributor RFQ for Backoffice
RFQ-Quotation & Offer Management,Y,screen,MyProfile,MyProfile
RFQ-Quotation & Offer Management,Y,flow,Quote:eCommerce-Middleware,Quote:eCommerce-Middleware
RFQ-Quotation & Offer Management,Y,flow,Quote:Middleware-eCommerce,Quote:Middleware-eCommerce
RFQ-Quotation & Offer Management,Y,module,RFQ-Quotation & Offer Management,RFQ-Quotation & Offer Management
Search-Application/Fitmnet,N,module,Search-Application/Fitmnet,Search-Application/Fitmnet
Search-DocumentationSearch,Y,module,DAM-DocumentationSearch,DAM-DocumentationSearch
Search-DocumentationSearch,Y,screen,DocumentationSearch,DocumentationSearch
Search-DocumentationSearch,Y,screen,KeywordSearch,KeywordSearch
Search-Faced filters,Y,screen,ProductFilters,ProductFilters
Search-Faced filters,Y,module,Search-Faced filters,Search-Faced filters
Search-Find End Yoke,N,module,Search-Find End Yoke,Search-Find End Yoke
Search-Full-site Search,Y,screen,AdvancedSearch,AdvancedSearch
Search-Full-site Search,Y,module,Search-Full-site Search,Search-Full-site Search
Search-Full-site Search,Y,screen,SearchResults,SearchResults
Search-Search Preferences,N,module,Search-Search Preferences,Search-Search Preferences
Search-Search within facet filter,N,module,Search-Search within facet filter,Search-Search within facet filter
Search-Visual Search,N,module,Search-Visual Search,Search-Visual Search
Search-Year make model,N,module,Search-Year make model,Search-Year make model
SEO-SEO for catalog,N,screen,PLP,PLP
SEO-SEO for catalog,N,module,SEO-SEO for catalog,SEO-SEO for catalog
SEO-SEO for products,N,screen,PDP,PDP
SEO-SEO for products,N,module,SEO-SEO for products,SEO-SEO for products
SEO-Sitemap,N,module,SEO-Sitemap,SEO-Sitemap
"Setup-Setup of local environment, DevOps with Spryker Cloud",N,module,"Setup-Setup of local environment, DevOps with Spryker Cloud","Setup-Setup of local environment, DevOps with Spryker Cloud"
"Setup-Store, region, locales creation",N,module,"Setup-Store, region, locales creation","Setup-Store, region, locales creation"
Shipment-Custom availability,N,module,Shipment-Custom availability,Shipment-Custom availability
Shipment-Custom delivery time calculation,N,module,Shipment-Custom delivery time calculation,Shipment-Custom delivery time calculation
Shipment-Custom price calculation,N,module,Shipment-Custom price calculation,Shipment-Custom price calculation
Shipment-Ship To location import,N,flow,ShipToLocation:WorkshopInfo-eCommerce,ShipToLocation:WorkshopInfo-eCommerce
Shipment-Shipment,Y,screen,Shipment,Shipment
Shipment-Shipment,Y,module,Shipment-Shipment,Shipment-Shipment
Shipment-Shipment Carriers & Methods management,N,screen,BckAdmPanel,BckAdmPanel
Shipment-Shipment Carriers & Methods management,N,module,Shipment-Shipment Carriers & Methods management,Shipment-Shipment Carriers & Methods management
Shipment-Tracking code,N,screen,BckAdmPanel,BckAdmPanel
Shipment-Tracking code,N,module,Shipment-Tracking code,Shipment-Tracking code
Shopping List & Wish List-Permission Management for Shopping Lists,N,module,Shopping List & Wish List-Permission Management for Shopping Lists,Shopping List & Wish List-Permission Management for Shopping Lists
Shopping List & Wish List-Shopping List Management,N,module,Shopping List & Wish List-Shopping List Management,Shopping List & Wish List-Shopping List Management
Shopping List & Wish List-Wish List,N,module,Shopping List & Wish List-Wish List,Shopping List & Wish List-Wish List
Shopping List & Wish List-Wish List,N,screen,Whishlist,Whishlist
Tax-Avalara Integration,N,module,Tax-Avalara Integration,Tax-Avalara Integration
Tax-Manage Tax Rates & Sets,N,screen,BckAdmPanel,BckAdmPanel
Tax-Manage Tax Rates & Sets,N,module,Tax-Manage Tax Rates & Sets,Tax-Manage Tax Rates & Sets
